cancer_type_abbr,r_id,gene,tool
ACC,250005857,APC,activedriver
ACC,250005857,USF3,activedriver
ACC,250005857,TMCC1,activedriver
ACC,250005857,CXXC1,activedriver
ACC,250005857,CPS1,activedriver
ACC,250005857,KIAA1671,activedriver
ACC,250005857,ADNP,activedriver
ACC,250005857,COBL,activedriver
ACC,250005857,C9,activedriver
ACC,250005857,CTNNB1,activedriver
ACC,250005857,FOXO1,activedriver
ACC,250005857,HLTF,activedriver
ACC,250005857,FADD,activedriver
ACC,250005857,TRIP13,activedriver
ACC,250005857,TRPC6,activedriver
ACC,250005857,SMC4,activedriver
ACC,250005857,MAP1B,activedriver
ACC,250005857,RANBP2,activedriver
ACC,250005857,ASCC3,activedriver
ACC,250005857,GCN1,activedriver
ACC,250005857,MDC1,activedriver
ACC,250005857,CEP170,activedriver
ACC,250005857,ANKS1A,activedriver
ACC,250005857,MYH4,activedriver
ACC,250005857,MYH2,activedriver
ACC,250005857,CHD7,activedriver
ACC,250005857,SMPD4,activedriver
ACC,250005857,TAOK1,activedriver
ACC,250005857,ARHGAP21,activedriver
ACC,250005857,ANK3,activedriver
ACC,250005857,SCAF1,activedriver
ACC,250005857,PLA2G4A,activedriver
ACC,250005857,JMJD1C,activedriver
ACC,250005857,MYO1G,activedriver
ACC,250005857,TNKS1BP1,activedriver
ACC,250005857,FHAD1,activedriver
ACC,250005857,XIRP2,activedriver
ACC,250005857,FRMD7,activedriver
BLCA,250005815,APC,activedriver
BLCA,250005815,AR,activedriver
BLCA,250005815,ATM,activedriver
BLCA,250005815,MSH6,activedriver
BLCA,250005815,HADHB,activedriver
BLCA,250005815,ITGB3,activedriver
BLCA,250005815,PTEN,activedriver
BLCA,250005815,RB1,activedriver
BLCA,250005815,SCN5A,activedriver
BLCA,250005815,KEL,activedriver
BLCA,250005815,NOTCH3,activedriver
BLCA,250005815,RFX5,activedriver
BLCA,250005815,ATRX,activedriver
BLCA,250005815,TP53,activedriver
BLCA,250005815,TSC2,activedriver
BLCA,250005815,CHRNA5,activedriver
BLCA,250005815,CYP2E1,activedriver
BLCA,250005815,KCNJ2,activedriver
BLCA,250005815,LTA4H,activedriver
BLCA,250005815,ABCB1,activedriver
BLCA,250005815,POLR2B,activedriver
BLCA,250005815,RPL4,activedriver
BLCA,250005815,BRPF1,activedriver
BLCA,250005815,BICD2,activedriver
BLCA,250005815,DNM2,activedriver
BLCA,250005815,WASHC2A,activedriver
BLCA,250005815,RPS6KA1,activedriver
BLCA,250005815,PPP2CB,activedriver
BLCA,250005815,HRNR,activedriver
BLCA,250005815,FAM83B,activedriver
BLCA,250005815,BIRC5,activedriver
BLCA,250005815,SLC3A2,activedriver
BLCA,250005815,ZNF638,activedriver
BLCA,250005815,KIAA2026,activedriver
BLCA,250005815,ZNF749,activedriver
BLCA,250005815,NR3C1,activedriver
BLCA,250005815,ABCF1,activedriver
BLCA,250005815,MBP,activedriver
